,power,power
,total_capacity,number_of_charger
zipcode,,
1023 PA,11.0,1
1023 XG,11.0,1
1023 XR,11.0,1
1024 BA,22.0,1
1024 BV,33.0,2
1024 BX,11.0,1
1024 CR,11.0,1
1024 CX,22.0,1
1024 DC,11.0,1
1024 EJ,11.0,1
1024 EK,22.0,1
1024 EP,22.0,1
1024 GT,22.0,1
1024 HA,22.0,1
1024 HM,11.0,1
1024 KH,11.0,1
1024 KK,22.0,1
1024 KM,22.0,1
1024 LA,22.0,1
1024 LH,11.0,1
1024 LW,22.0,1
1024 MD,44.0,3
1024 MH,22.0,1
1024 MJ,22.0,1
1024 ML,11.0,1
1024 NG,11.0,1
1024 NL,11.0,1
1024 NR,22.0,1
1024 PJ,11.0,1
1024 PL,22.0,1
1024 SG,22.0,1
1024 TK,11.0,1
1024 VR,11.0,1
1024 VV,22.0,2
1024 VX,22.0,1
1024 XR,22.0,1
1025 AE,11.0,1
1025 AJ,22.0,1
1025 BE,22.0,1
1025 BK,11.0,1
1025 CL,11.0,1
1025 CX,11.0,1
1025 DC,11.0,1
1025 DS,22.0,1
1025 DT,11.0,1
1025 EE,11.0,1
1025 GC,11.0,1
1025 HD,11.0,1
1025 HS,11.0,1
1025 JG,11.0,1
1025 JV,22.0,1
1025 KG,11.0,1
1025 KN,11.0,1
1025 KV,22.0,1
1025 MR,22.0,2
1025 NK,22.0,1
1025 PC,11.0,1
1025 PD,22.0,1
1025 PK,11.0,1
1025 RW,22.0,1
1025 VN,11.0,1
1025 VR,22.0,2
1025 WD,11.0,1
1025 WH,11.0,1
1025 WK,22.0,1
1025 WS,11.0,1
1025 WZ,22.0,2
1025 XG,11.0,1
1025 XW,33.0,2
1025 ZC,11.0,1
1025 ZR,11.0,1
1025JL,11.0,1
1027 AM,22.0,1
1027 ED,11.0,1
1028 BK,33.0,2
1031 BP,11.0,1
1031 BX,11.0,1
1031 CJ,22.0,1
1031 EM,11.0,1
1031 GD,11.0,1
1031 GG,11.0,1
1031 GH,22.0,1
1031 HE,22.0,1
1031 HH,22.0,2
1031 KA,11.0,1
1031 KB,22.0,1
