,power,power
,total_capacity,number_of_charger
zipcode,,
1092 BZ,11.0,1
1092 CE,11.0,1
1092 EA,22.0,1
1092 EB,11.0,1
1092 EE,22.0,2
1092 EL,11.0,1
1092 ER,33.0,3
1092 EZ,22.0,1
1092 GD,11.0,1
1092 GE,11.0,1
1092 GG,11.0,1
1092 GM,22.0,1
1092 GZ,11.0,1
1092 HK,22.0,1
1092 HM,11.0,1
1092 HZ,11.0,1
1092 KA,11.0,1
1092 TE,22.0,2
1092 TG,22.0,1
1092 TJ,11.0,1
1092 VC,11.0,1
1092 VM,11.0,1
1092 VR,11.0,1
1092 XC,11.0,1
1092 XH,11.0,1
1092 XP,22.0,1
1092 XR,11.0,1
1092 XZ,22.0,1
1093 AD,22.0,1
1093 CA,11.0,1
1093 CB,11.0,1
1093 CN,22.0,2
1093 CP,11.0,1
1093 CX,11.0,1
1093 DL,11.0,1
1093 DM,11.0,1
1093 ES,11.0,1
1093 HG,11.0,1
1093 HP,11.0,1
1093 JL,22.0,2
1093 JT,11.0,1
1093 JV,11.0,1
1093 KP,33.0,2
1093 MB,33.0,2
1093 SH,22.0,2
1093 TE,22.0,1
1093 TK,22.0,2
1093 VD,11.0,1
1093 VT,11.0,1
1093 XC,11.0,1
1094 CE,33.0,2
1094 CG,22.0,1
1094 CK,11.0,1
1094 CT,11.0,1
1094 CV,22.0,1
1094 CX,22.0,1
1094 EC,11.0,1
1094 EG,11.0,1
1094 EM,11.0,1
1094 EN,22.0,2
1094 ER,11.0,1
1094 GB,22.0,1
1094 GC,11.0,1
1094 GT,11.0,1
1094 JL,11.0,1
1094 JP,22.0,1
1094 KE,11.0,1
1094 KK,22.0,2
1094 KZ,11.0,1
1094 LK,22.0,2
1094 LM,22.0,1
1094 LR,11.0,1
1094 LT,11.0,1
1094 NT,22.0,1
1094 PW,22.0,1
1094 RB,11.0,1
1094 RP,11.0,1
1094 SJ,11.0,1
1094 TH,22.0,1
1094 XN,22.0,2
1095 BJ,11.0,1
1095 BL,11.0,1
1095 CH,22.0,2
1095 CM,11.0,1
1095 CS,11.0,1
1095 DJ,11.0,1
1095 DN,11.0,1
1095 DX,22.0,1
1095 EG,11.0,1
1095 ES,22.0,1
1095 ET,22.0,1
1095 EZ,11.0,1
1095 GZ,11.0,1
1095 HK,11.0,1
1095 JK,22.0,2
1095 JM,33.0,2
1095 KC,11.0,1
1095 KD,11.0,1
1095 KW,11.0,1
1095 LH,11.0,1
1095 MB,11.0,1
1095 MD,88.0,6
1095 ME,11.0,1
1095 MM,22.0,1
1095 SC,22.0,1
1095 TA,11.0,1
1095 TG,11.0,1
1095 TP,11.0,1
1095 VD,22.0,1
1095 VJ,11.0,1
1095 WE,22.0,1
1095 XE,22.0,1
1095 XP,11.0,1
1096 AA,11.0,1
1096 AH,11.0,1
1096 AN,11.0,1
1096 BH,33.0,3
1096 BK,22.0,2
1096 BL,11.0,1
1096 CJ,22.0,2
1096 CN,11.0,1
1096 CR,11.0,1
1096 DH,11.0,1
1096 DV,11.0,1
1096 GA,22.0,2
1096 GG,33.0,3
1096 GJ,22.0,2
1096 HZ,44.0,3
1096 ZR,11.0,1
1097 AJ,11.0,1
1097 AL,11.0,1
1097 AP,22.0,1
1097 AR,11.0,1
1097 BA,22.0,1
1097 BB,11.0,1
1097 BC,11.0,1
1097 BD,11.0,1
1097 CC,11.0,1
1097 CJ,11.0,1
1097 CR,33.0,2
1097 CS,22.0,1
1097 CT,22.0,2
1097 DH,11.0,1
1097 DK,11.0,1
1097 DM,33.0,2
1097 DS,22.0,1
1097 DX,50.0,1
1097 ER,11.0,1
1097 ET,11.0,1
1097 EV,44.0,2
1097 GH,22.0,2
1097 GR,22.0,1
1097 HG,11.0,1
1097 HK,22.0,2
1097 HL,22.0,2
1097 HN,33.0,2
1097 HW,11.0,1
1097 HX,11.0,1
1097 JD,11.0,1
1097 KA,11.0,1
1097 LX,11.0,1
1097 MG,11.0,1
1097 NK,11.0,1
1097 NV,22.0,1
1097 NZ,22.0,1
1097 PB,11.0,1
1097 PD,22.0,1
1097 PP,11.0,1
1097 RH,11.0,1
1097 RM,11.0,1
1097 RP,11.0,1
1097 SM,11.0,1
1097 SR,11.0,1
1097 TB,22.0,1
1097 TH,11.0,1
1097 TV,11.0,1
1097 TZ,11.0,1
1097 VD,11.0,1
1097 VH,11.0,1
1097 WL,11.0,1
1097 XA,22.0,1
1097 XD,22.0,1
1097 ZC,22.0,1
1097 ZR,22.0,1
1098 AS,11.0,1
1098 BA,11.0,1
1098 BE,33.0,3
1098 BG,11.0,1
1098 BK,11.0,1
1098 BS,22.0,1
1098 BV,22.0,1
1098 CD,11.0,1
1098 CH,11.0,1
1098 CJ,11.0,1
1098 CW,22.0,2
1098 EJ,11.0,1
1098 EL,11.0,1
1098 ER,22.0,1
1098 ES,11.0,1
1098 GE,11.0,1
1098 GJ,11.0,1
1098 HC,11.0,1
1098 HE,33.0,2
1098 JA,11.0,1
1098 JC,22.0,1
1098 JG,11.0,1
1098 JJ,11.0,1
1098 JL,11.0,1
1098 JM,11.0,1
1098 JT,11.0,1
1098 KC,22.0,2
1098 KE,11.0,1
1098 KM,11.0,1
1098 KN,11.0,1
1098 KT,11.0,1
1098 KX,11.0,1
1098 LK,11.0,1
1098 LR,22.0,1
1098 NA,22.0,1
1098 NB,44.0,3
1098 NC,11.0,1
1098 ND,11.0,1
1098 NJ,33.0,3
1098 NR,11.0,1
1098 NV,11.0,1
1098 PE,11.0,1
1098 PM,11.0,1
1098 PN,22.0,1
1098 PZ,11.0,1
1098 RL,11.0,1
1098 RP,11.0,1
1098 RX,11.0,1
1098 SK,22.0,2
1098 TB,11.0,1
1098 TG,22.0,1
1098 TS,22.0,1
1098 TT,22.0,2
1098 TZ,11.0,1
1098 XB,11.0,1
1098 XE,11.0,1
1098 XH,22.0,2
1101 AG,22.0,2
1101 AR,11.0,1
1101 GC,11.0,1
1102 AA,11.0,1
1102 AG,11.0,1
1102 AL,22.0,1
1102 AM,11.0,1
1102 AZ,33.0,3
1102 BA,11.0,1
1102 EE,11.0,1
1102 GG,11.0,1
1102 JC,11.0,1
1102 JN,22.0,1
1102 KA,11.0,1
1102 LA,11.0,1
1102 MX,11.0,1
1102 PT,11.0,1
1102 RR,11.0,1
1102 RS,22.0,1
1102 SC,11.0,1
1102 SE,11.0,1
1102 SG,11.0,1
1102 SP,11.0,1
1102 TB,22.0,1
1102 TD,22.0,1
1102 TG,11.0,1
1102 TT,22.0,1
1102 TW,22.0,1
1102 VD,22.0,1
1102 VJ,11.0,1
1102 VP,22.0,1
1102 VW,11.0,1
1102 WV,22.0,1
1102 WZ,22.0,1
1102 XA,11.0,1
1102 XD,11.0,1
1102 XE,11.0,1
1102 XL,22.0,1
1102 ZM,22.0,1
1102 ZR,22.0,1
1103 AC,33.0,3
1103 AS,22.0,1
1103 AV,22.0,2
1103 AW,22.0,1
1103 BA,22.0,1
1103 BJ,11.0,1
1103 DN,22.0,1
1103 DS,11.0,1
1103 DT,11.0,1
1103 JZ,11.0,1
1103 ML,22.0,1
1103 MN,11.0,1
1103 MP,11.0,1
1103 PX,11.0,1
1103 RC,11.0,1
1103 RK,11.0,1
1103 RM,22.0,1
1103 SC,11.0,1
1103 SE,22.0,1
1103 SG,22.0,1
1103 SK,11.0,1
1103 SL,11.0,1
1103 TA,11.0,1
1103 TC,22.0,1
1103 TE,11.0,1
1103 TT,11.0,1
1103 TV,44.0,4
1104 CB,11.0,1
1104 DN,22.0,1
1104 EA,55.0,4
1104 HJ,33.0,2
1104 HL,33.0,2
1104 HP,11.0,1
1104 HS,22.0,1
1104 HV,11.0,1
1104 KK,33.0,2
1104 KR,11.0,1
1104 KV,22.0,1
1104 MJ,22.0,1
1104 MM,44.0,4
1104 MP,11.0,1
1104 NS,22.0,1
1104 PE,22.0,1
1104 PS,11.0,1
1104 SE,22.0,2
1104 VA,44.0,2
1104 VC,22.0,1
1105 AS,11.0,1
1105 AT,11.0,1
1106 AH,11.0,1
1106 BA,22.0,2
1106 CS,11.0,1
1106 CZ,11.0,1
1106 DL,11.0,1
1106 ED,11.0,1
1106 EG,22.0,1
1106 EL,22.0,1
1106 EN,22.0,2
1106 EX,11.0,1
1106 GC,11.0,1
1106 GK,11.0,1
1106 GT,22.0,1
1106 HB,22.0,1
1106 HP,22.0,1
1106 HW,11.0,1
1106 JK,11.0,1
1106 JW,11.0,1
1106 JZ,22.0,1
1106 KB,11.0,1
1106 MH,11.0,1
1106 PS,11.0,1
1106 RT,22.0,1
1106 VP,11.0,1
1106 WB,11.0,1
1106 WH,11.0,1
1106 WL,11.0,1
1106 WR,11.0,1
1106 XZ,11.0,1
1106 ZB,11.0,1
1106 ZD,11.0,1
1106 ZE,11.0,1
1106 ZK,33.0,2
1106 ZM,33.0,2
1106 ZN,11.0,1
1106 ZT,33.0,2
1107 AD,11.0,1
1107 AV,11.0,1
1107 BA,11.0,1
1107 BV,11.0,1
1107 CJ,22.0,1
1107 CN,11.0,1
1107 DC,22.0,1
1107 DL,22.0,1
1107 EA,11.0,1
1107 KB,22.0,1
1107 LC,11.0,1
1107 PK,11.0,1
1107 RH,11.0,1
1107 ST,11.0,1
1107 TA,11.0,1
1107 TH,22.0,1
1107 VA,11.0,1
1107 VD,11.0,1
1107 VJ,33.0,2
1107 WS,22.0,2
1107 XM,11.0,1
1108 AX,11.0,1
1108 CK,11.0,1
1108 CP,11.0,1
1108 EL,11.0,1
1109 AG,11.0,1
1109 BB,11.0,1
1109 BC,11.0,1
1109 BJ,11.0,1
1109 BK,11.0,1
1114 AG,11.0,1
1114 AK,11.0,1
1114 AN,11.0,1
