,Postcode,buurt
73489,1091ER,Weesperzijde Midden/Zuid
73498,1091ES,Weesperzijde Midden/Zuid
73506,1091ET,Weesperzijde Midden/Zuid
73516,1091EX,Weesperzijde Midden/Zuid
73523,1091EZ,Weesperzijde Midden/Zuid
73529,1091GA,Weesperzijde Midden/Zuid
73538,1091GB,Weesperzijde Midden/Zuid
73547,1091GN,Weesperzijde Midden/Zuid
73556,1091GP,Weesperzijde Midden/Zuid
73563,1091GR,Weesperzijde Midden/Zuid
73574,1091GS,Weesperzijde Midden/Zuid
73589,1091HB,Weesperzijde Midden/Zuid
73599,1091HC,Weesperzijde Midden/Zuid
73614,1091RA,Weesperzijde Midden/Zuid
73635,1091RB,Weesperzijde Midden/Zuid
73657,1091RC,Weesperzijde Midden/Zuid
73678,1091RD,Weesperzijde Midden/Zuid
73700,1091RE,Weesperzijde Midden/Zuid
73719,1091RG,Weesperzijde Midden/Zuid
73743,1091RH,Weesperzijde Midden/Zuid
73757,1091RJ,Weesperzijde Midden/Zuid
73776,1091SG,Weesperzijde Midden/Zuid
73786,1091SH,Weesperzijde Midden/Zuid
73800,1091SJ,Weesperzijde Midden/Zuid
73809,1091SK,Weesperzijde Midden/Zuid
73818,1091SL,Weesperzijde Midden/Zuid
73864,1091SM,Weesperzijde Midden/Zuid
73865,1091SN,Weesperzijde Midden/Zuid
73866,1091ST,Weesperzijde Midden/Zuid
73908,1091SV,Weesperzijde Midden/Zuid
73918,1091SW,Weesperzijde Midden/Zuid
73932,1091SX,Weesperzijde Midden/Zuid
73939,1091SZ,Weesperzijde Midden/Zuid
73968,1091TA,Weesperzijde Midden/Zuid
73975,1091TB,Weesperzijde Midden/Zuid
73983,1091TC,Weesperzijde Midden/Zuid
73998,1091TD,Weesperzijde Midden/Zuid
74005,1091TE,Weesperzijde Midden/Zuid
74014,1091TG,Weesperzijde Midden/Zuid
74023,1091TH,Weesperzijde Midden/Zuid
74031,1091TJ,Weesperzijde Midden/Zuid
74090,1091TK,Weesperzijde Midden/Zuid
74125,1091TL,Weesperzijde Midden/Zuid
74127,1091TM,Weesperzijde Midden/Zuid
74184,1091TN,Weesperzijde Midden/Zuid
74193,1091TP,Weesperzijde Midden/Zuid
74201,1091TR,Weesperzijde Midden/Zuid
74209,1091TS,Weesperzijde Midden/Zuid
74215,1091TT,Weesperzijde Midden/Zuid
74229,1091GH,Parooldriehoek
74230,1091GL,Parooldriehoek
74233,1091KP,Parooldriehoek
74239,1091KR,Parooldriehoek
74248,1091KS,Parooldriehoek
74254,1091KT,Parooldriehoek
74260,1091KV,Parooldriehoek
74267,1091VG,Parooldriehoek
74268,1091AA,Oosterparkbuurt Noordwest
74283,1091AB,Oosterparkbuurt Noordwest
74289,1091AC,Oosterparkbuurt Noordwest
74298,1091AD,Oosterparkbuurt Noordwest
74318,1091AE,Oosterparkbuurt Noordwest
74322,1091AG,Oosterparkbuurt Noordwest
74330,1091AH,Oosterparkbuurt Noordwest
74336,1091AJ,Oosterparkbuurt Noordwest
74347,1091AK,Oosterparkbuurt Noordwest
74358,1091AL,Oosterparkbuurt Noordwest
74377,1091AM,Oosterparkbuurt Noordwest
74382,1091AN,Oosterparkbuurt Noordwest
74395,1091AP,Oosterparkbuurt Noordwest
74402,1091AR,Oosterparkbuurt Noordwest
74410,1091AS,Oosterparkbuurt Noordwest
74416,1091AT,Oosterparkbuurt Noordwest
74421,1091AV,Oosterparkbuurt Noordwest
74427,1091AW,Oosterparkbuurt Noordwest
74434,1091AX,Oosterparkbuurt Noordwest
74443,1091AZ,Oosterparkbuurt Noordwest
74449,1091BA,Oosterparkbuurt Noordwest
74456,1091BB,Oosterparkbuurt Noordwest
74466,1091BC,Oosterparkbuurt Noordwest
74511,1091BD,Oosterparkbuurt Noordwest
74529,1091BE,Oosterparkbuurt Noordwest
74539,1091BG,Oosterparkbuurt Noordwest
74551,1091BH,Oosterparkbuurt Noordwest
74558,1091BJ,Oosterparkbuurt Noordwest
74562,1091BK,Oosterparkbuurt Noordwest
74568,1091BL,Oosterparkbuurt Noordwest
74569,1091BT,Oosterparkbuurt Noordwest
74572,1091BV,Oosterparkbuurt Noordwest
74575,1091BW,Oosterparkbuurt Noordwest
74579,1091BX,Oosterparkbuurt Noordwest
74589,1091BZ,Oosterparkbuurt Noordwest
74595,1091CE,Oosterparkbuurt Noordwest
74607,1091CG,Oosterparkbuurt Noordwest
74617,1091CH,Oosterparkbuurt Noordwest
74628,1091CM,Oosterparkbuurt Noordwest
74635,1091CN,Oosterparkbuurt Noordwest
74645,1091CP,Oosterparkbuurt Noordwest
74674,1091CW,Oosterparkbuurt Noordwest
74684,1091CX,Oosterparkbuurt Noordwest
74695,1091CZ,Oosterparkbuurt Noordwest
74718,1091DB,Oosterparkbuurt Noordwest
74737,1091DC,Oosterparkbuurt Noordwest
74797,1091DD,Oosterparkbuurt Noordwest
74799,1091DE,Oosterparkbuurt Noordwest
74824,1091DG,Oosterparkbuurt Noordwest
74833,1091DH,Oosterparkbuurt Noordwest
74871,1091DJ,Oosterparkbuurt Noordwest
74896,1091DK,Oosterparkbuurt Noordwest
74920,1091DL,Oosterparkbuurt Noordwest
74940,1091DM,Oosterparkbuurt Noordwest
74960,1091DN,Oosterparkbuurt Noordwest
74996,1091DP,Oosterparkbuurt Noordwest
75032,1091DR,Oosterparkbuurt Noordwest
75063,1091DS,Oosterparkbuurt Noordwest
75072,1091DT,Oosterparkbuurt Noordwest
75089,1091DV,Oosterparkbuurt Noordwest
75115,1091DW,Oosterparkbuurt Noordwest
75116,1091DX,Oosterparkbuurt Noordwest
75120,1091DZ,Oosterparkbuurt Noordwest
75129,1091GC,Oosterparkbuurt Noordwest
75145,1091GD,Oosterparkbuurt Noordwest
75148,1091GE,Oosterparkbuurt Noordwest
75203,1091GG,Oosterparkbuurt Noordwest
75219,1091GH,Oosterparkbuurt Noordwest
75242,1091GJ,Oosterparkbuurt Noordwest
75244,1091GK,Oosterparkbuurt Noordwest
75249,1091GX,Oosterparkbuurt Noordwest
75260,1091GZ,Oosterparkbuurt Noordwest
75271,1091HA,Oosterparkbuurt Noordwest
75314,1091MR,Oosterparkbuurt Noordwest
75334,1091MS,Oosterparkbuurt Noordwest
75359,1091MX,Oosterparkbuurt Noordwest
75385,1091MZ,Oosterparkbuurt Noordwest
75409,1092AA,Oosterpark
75437,1092AB,Oosterpark
75445,1092AC,Oosterpark
75454,1092AD,Oosterpark
75463,1092CK,Oosterpark
75464,1092MA,Oosterpark
75471,1092BN,Oosterparkbuurt Zuidoost
75472,1092AE,Oosterparkbuurt Zuidoost
75478,1092AG,Oosterparkbuurt Zuidoost
75483,1092AH,Oosterparkbuurt Zuidoost
75488,1092AJ,Oosterparkbuurt Zuidoost
75493,1092AK,Oosterparkbuurt Zuidoost
75497,1092AL,Oosterparkbuurt Zuidoost
75502,1092AM,Oosterparkbuurt Zuidoost
75506,1092AN,Oosterparkbuurt Zuidoost
75512,1092AP,Oosterparkbuurt Zuidoost
75520,1092AR,Oosterparkbuurt Zuidoost
75527,1092AS,Oosterparkbuurt Zuidoost
75535,1092AT,Oosterparkbuurt Zuidoost
75540,1092AV,Oosterparkbuurt Zuidoost
75546,1092AW,Oosterparkbuurt Zuidoost
75551,1092AX,Oosterparkbuurt Zuidoost
75559,1092AZ,Oosterparkbuurt Zuidoost
75562,1092BA,Oosterparkbuurt Zuidoost
75571,1092BB,Oosterparkbuurt Zuidoost
75598,1092BC,Oosterparkbuurt Zuidoost
75603,1092BD,Oosterparkbuurt Zuidoost
75609,1092BE,Oosterparkbuurt Zuidoost
75615,1092BG,Oosterparkbuurt Zuidoost
75620,1092BH,Oosterparkbuurt Zuidoost
75629,1092BJ,Oosterparkbuurt Zuidoost
75634,1092BK,Oosterparkbuurt Zuidoost
75639,1092BL,Oosterparkbuurt Zuidoost
75645,1092BM,Oosterparkbuurt Zuidoost
75668,1092BP,Oosterparkbuurt Zuidoost
75673,1092BR,Oosterparkbuurt Zuidoost
75683,1092BS,Oosterparkbuurt Zuidoost
75690,1092BT,Oosterparkbuurt Zuidoost
75698,1092BV,Oosterparkbuurt Zuidoost
75749,1092BW,Oosterparkbuurt Zuidoost
75755,1092BX,Oosterparkbuurt Zuidoost
75760,1092BZ,Oosterparkbuurt Zuidoost
75763,1092CA,Oosterparkbuurt Zuidoost
75782,1092CB,Oosterparkbuurt Zuidoost
75790,1092CC,Oosterparkbuurt Zuidoost
75804,1092CD,Oosterparkbuurt Zuidoost
75813,1092CE,Oosterparkbuurt Zuidoost
75817,1092CG,Oosterparkbuurt Zuidoost
75837,1092CH,Oosterparkbuurt Zuidoost
75844,1092CJ,Oosterparkbuurt Zuidoost
75848,1092CK,Oosterparkbuurt Zuidoost
75861,1092CL,Oosterparkbuurt Zuidoost
75869,1092CS,Oosterparkbuurt Zuidoost
75887,1092CW,Oosterparkbuurt Zuidoost
75891,1092CX,Oosterparkbuurt Zuidoost
75907,1092CZ,Oosterparkbuurt Zuidoost
75910,1092EA,Oosterparkbuurt Zuidoost
75971,1092EB,Oosterparkbuurt Zuidoost
75978,1092EC,Oosterparkbuurt Zuidoost
75985,1092ED,Oosterparkbuurt Zuidoost
75992,1092EE,Oosterparkbuurt Zuidoost
75999,1092EG,Oosterparkbuurt Zuidoost
76004,1092EH,Oosterparkbuurt Zuidoost
76012,1092EJ,Oosterparkbuurt Zuidoost
76020,1092EK,Oosterparkbuurt Zuidoost
76028,1092EL,Oosterparkbuurt Zuidoost
76031,1092EM,Oosterparkbuurt Zuidoost
76039,1092EN,Oosterparkbuurt Zuidoost
76047,1092EP,Oosterparkbuurt Zuidoost
76055,1092ER,Oosterparkbuurt Zuidoost
76063,1092ES,Oosterparkbuurt Zuidoost
76071,1092ET,Oosterparkbuurt Zuidoost
76079,1092EV,Oosterparkbuurt Zuidoost
76087,1092LA,Oosterparkbuurt Zuidoost
76110,1092LB,Oosterparkbuurt Zuidoost
76136,1092LC,Oosterparkbuurt Zuidoost
76147,1092SB,Oosterparkbuurt Zuidoost
76167,1092SC,Oosterparkbuurt Zuidoost
76189,1092SE,Oosterparkbuurt Zuidoost
76190,1092TA,Oosterparkbuurt Zuidoost
76196,1092TB,Oosterparkbuurt Zuidoost
76205,1092TC,Oosterparkbuurt Zuidoost
76208,1092TD,Oosterparkbuurt Zuidoost
76210,1092TE,Oosterparkbuurt Zuidoost
76217,1092TG,Oosterparkbuurt Zuidoost
76226,1092TH,Oosterparkbuurt Zuidoost
76227,1092TJ,Oosterparkbuurt Zuidoost
76233,1092TK,Oosterparkbuurt Zuidoost
76244,1092TL,Oosterparkbuurt Zuidoost
76287,1092TM,Oosterparkbuurt Zuidoost
76293,1092TN,Oosterparkbuurt Zuidoost
76301,1092TP,Oosterparkbuurt Zuidoost
76310,1092TR,Oosterparkbuurt Zuidoost
76320,1092TS,Oosterparkbuurt Zuidoost
76329,1092TT,Oosterparkbuurt Zuidoost
76335,1092TV,Oosterparkbuurt Zuidoost
76344,1092TW,Oosterparkbuurt Zuidoost
76353,1092TX,Oosterparkbuurt Zuidoost
76362,1092TZ,Oosterparkbuurt Zuidoost
76371,1092VA,Oosterparkbuurt Zuidoost
76379,1091GK,Oosterparkbuurt Zuidwest
76384,1091GL,Oosterparkbuurt Zuidwest
76393,1091HC,Oosterparkbuurt Zuidwest
76396,1091HE,Oosterparkbuurt Zuidwest
76407,1091HG,Oosterparkbuurt Zuidwest
76408,1091HH,Oosterparkbuurt Zuidwest
76414,1091HJ,Oosterparkbuurt Zuidwest
76424,1091HK,Oosterparkbuurt Zuidwest
76430,1091HL,Oosterparkbuurt Zuidwest
76437,1091HM,Oosterparkbuurt Zuidwest
76479,1091HN,Oosterparkbuurt Zuidwest
76485,1091HP,Oosterparkbuurt Zuidwest
76500,1091HR,Oosterparkbuurt Zuidwest
76528,1091HS,Oosterparkbuurt Zuidwest
76552,1091HT,Oosterparkbuurt Zuidwest
76556,1091HV,Oosterparkbuurt Zuidwest
76562,1091HW,Oosterparkbuurt Zuidwest
76573,1091HX,Oosterparkbuurt Zuidwest
76578,1091HZ,Oosterparkbuurt Zuidwest
76580,1091JA,Oosterparkbuurt Zuidwest
76582,1091JB,Oosterparkbuurt Zuidwest
76591,1091JC,Oosterparkbuurt Zuidwest
76600,1091JD,Oosterparkbuurt Zuidwest
76609,1091JE,Oosterparkbuurt Zuidwest
76616,1091JG,Oosterparkbuurt Zuidwest
76627,1091JH,Oosterparkbuurt Zuidwest
76633,1091JJ,Oosterparkbuurt Zuidwest
76641,1091JK,Oosterparkbuurt Zuidwest
76643,1091JL,Oosterparkbuurt Zuidwest
76672,1091JM,Oosterparkbuurt Zuidwest
76698,1091JN,Oosterparkbuurt Zuidwest
76704,1091JP,Oosterparkbuurt Zuidwest
76708,1091JR,Oosterparkbuurt Zuidwest
76751,1091JS,Oosterparkbuurt Zuidwest
76760,1091JT,Oosterparkbuurt Zuidwest
76772,1091JV,Oosterparkbuurt Zuidwest
76784,1091JW,Oosterparkbuurt Zuidwest
76795,1091JX,Oosterparkbuurt Zuidwest
76805,1091JZ,Oosterparkbuurt Zuidwest
76820,1091KA,Oosterparkbuurt Zuidwest
76831,1091KB,Oosterparkbuurt Zuidwest
76840,1091KC,Oosterparkbuurt Zuidwest
76845,1091KD,Oosterparkbuurt Zuidwest
76851,1091KE,Oosterparkbuurt Zuidwest
76857,1091KG,Oosterparkbuurt Zuidwest
76864,1091KH,Oosterparkbuurt Zuidwest
76868,1091KJ,Oosterparkbuurt Zuidwest
76876,1091KK,Oosterparkbuurt Zuidwest
76884,1091KL,Oosterparkbuurt Zuidwest
76892,1091KM,Oosterparkbuurt Zuidwest
76898,1091KN,Oosterparkbuurt Zuidwest
76902,1091ML,Oosterparkbuurt Zuidwest
76917,1091TV,Oosterparkbuurt Zuidwest
76926,1091TW,Oosterparkbuurt Zuidwest
76936,1091TX,Oosterparkbuurt Zuidwest
76955,1091TZ,Oosterparkbuurt Zuidwest
76957,1091VA,Oosterparkbuurt Zuidwest
76967,1091VB,Oosterparkbuurt Zuidwest
76973,1091VC,Oosterparkbuurt Zuidwest
76981,1091VD,Oosterparkbuurt Zuidwest
76986,1091VE,Oosterparkbuurt Zuidwest
76993,1091VG,Oosterparkbuurt Zuidwest
77006,1091VH,Oosterparkbuurt Zuidwest
77016,1091VJ,Oosterparkbuurt Zuidwest
77027,1091VK,Oosterparkbuurt Zuidwest
77035,1091VL,Oosterparkbuurt Zuidwest
77040,1092AD,Dapperbuurt Noord
77041,1093AA,Dapperbuurt Noord
77047,1093AD,Dapperbuurt Noord
77054,1093AE,Dapperbuurt Noord
77060,1093AG,Dapperbuurt Noord
77069,1093AS,Dapperbuurt Noord
77073,1093AT,Dapperbuurt Noord
77080,1093AV,Dapperbuurt Noord
77104,1093AW,Dapperbuurt Noord
77105,1093BA,Dapperbuurt Noord
77106,1093BB,Dapperbuurt Noord
77108,1093BG,Dapperbuurt Noord
77116,1093BH,Dapperbuurt Noord
77123,1093BJ,Dapperbuurt Noord
77268,1093BK,Dapperbuurt Noord
77273,1093BP,Dapperbuurt Noord
77276,1093BS,Dapperbuurt Noord
77305,1093BT,Dapperbuurt Noord
77310,1093BV,Dapperbuurt Noord
77317,1093BW,Dapperbuurt Noord
77326,1093CB,Dapperbuurt Noord
77330,1093CC,Dapperbuurt Noord
77335,1093CD,Dapperbuurt Noord
77341,1093CE,Dapperbuurt Noord
77347,1093CG,Dapperbuurt Noord
77358,1093CH,Dapperbuurt Noord
77372,1093CL,Dapperbuurt Noord
77380,1093CM,Dapperbuurt Noord
77388,1093CN,Dapperbuurt Noord
77533,1093CP,Dapperbuurt Noord
77540,1093CR,Dapperbuurt Noord
77548,1093CS,Dapperbuurt Noord
77550,1093CV,Dapperbuurt Noord
77556,1093CX,Dapperbuurt Noord
77600,1093CZ,Dapperbuurt Noord
77627,1093DC,Dapperbuurt Noord
77656,1093DD,Dapperbuurt Noord
77679,1093DE,Dapperbuurt Noord
77699,1093DG,Dapperbuurt Noord
77711,1093DH,Dapperbuurt Noord
77739,1093DJ,Dapperbuurt Noord
77759,1093DK,Dapperbuurt Noord
77780,1093DL,Dapperbuurt Noord
77834,1093DM,Dapperbuurt Noord
77980,1093EA,Dapperbuurt Noord
78006,1093EB,Dapperbuurt Noord
78027,1093EC,Dapperbuurt Noord
78031,1093ED,Dapperbuurt Noord
78036,1093EE,Dapperbuurt Noord
78042,1093ES,Dapperbuurt Noord
78048,1093ET,Dapperbuurt Noord
78057,1093EV,Dapperbuurt Noord
78066,1093EW,Dapperbuurt Noord
78076,1093EX,Dapperbuurt Noord
78083,1093EZ,Dapperbuurt Noord
78087,1093GA,Dapperbuurt Noord
78094,1093GB,Dapperbuurt Noord
78211,1093LC,Dapperbuurt Noord
78245,1093RP,Dapperbuurt Noord
78261,1093RR,Dapperbuurt Noord
78267,1093RS,Dapperbuurt Noord
78273,1093RT,Dapperbuurt Noord
78278,1093RV,Dapperbuurt Noord
78283,1093RW,Dapperbuurt Noord
78291,1093RZ,Dapperbuurt Noord
78297,1093SB,Dapperbuurt Noord
78302,1093SC,Dapperbuurt Noord
78305,1093SH,Dapperbuurt Noord
78323,1093SJ,Dapperbuurt Noord
78329,1093SK,Dapperbuurt Noord
78336,1093SL,Dapperbuurt Noord
78342,1093SM,Dapperbuurt Noord
78348,1093SN,Dapperbuurt Noord
78368,1093SP,Dapperbuurt Noord
78388,1093SR,Dapperbuurt Noord
78408,1093ST,Dapperbuurt Noord
78428,1093SV,Dapperbuurt Noord
78448,1093SW,Dapperbuurt Noord
78468,1093SX,Dapperbuurt Noord
78488,1093SZ,Dapperbuurt Noord
78508,1093TA,Dapperbuurt Noord
78530,1093TB,Dapperbuurt Noord
78552,1093TC,Dapperbuurt Noord
78573,1093TD,Dapperbuurt Noord
78581,1093TE,Dapperbuurt Noord
78588,1093TG,Dapperbuurt Noord
78594,1093TH,Dapperbuurt Noord
78598,1093TJ,Dapperbuurt Noord
78603,1093TK,Dapperbuurt Noord
78611,1093TL,Dapperbuurt Noord
78618,1093TM,Dapperbuurt Noord
78626,1093TN,Dapperbuurt Noord
78632,1093TP,Dapperbuurt Noord
78698,1093TR,Dapperbuurt Noord
78704,1093TS,Dapperbuurt Noord
78706,1093TV,Dapperbuurt Noord
78713,1093TX,Dapperbuurt Noord
78714,1093VA,Dapperbuurt Noord
78724,1093VB,Dapperbuurt Noord
78727,1093VC,Dapperbuurt Noord
78733,1093VD,Dapperbuurt Noord
78921,1093BS,Dapperbuurt Zuid
78936,1093BX,Dapperbuurt Zuid
78944,1093BZ,Dapperbuurt Zuid
78950,1093CA,Dapperbuurt Zuid
78956,1093EE,Dapperbuurt Zuid
78957,1093EG,Dapperbuurt Zuid
78963,1093EH,Dapperbuurt Zuid
78970,1093EJ,Dapperbuurt Zuid
78975,1093EK,Dapperbuurt Zuid
78982,1093EL,Dapperbuurt Zuid
78991,1093GC,Dapperbuurt Zuid
78997,1093GD,Dapperbuurt Zuid
79005,1093GE,Dapperbuurt Zuid
79013,1093GG,Dapperbuurt Zuid
79024,1093GH,Dapperbuurt Zuid
79032,1093GJ,Dapperbuurt Zuid
79038,1093GK,Dapperbuurt Zuid
79046,1093GL,Dapperbuurt Zuid
79054,1093GM,Dapperbuurt Zuid
79061,1093GN,Dapperbuurt Zuid
79063,1093GP,Dapperbuurt Zuid
79083,1093GR,Dapperbuurt Zuid
79089,1093GS,Dapperbuurt Zuid
79132,1093GT,Dapperbuurt Zuid
79137,1093GV,Dapperbuurt Zuid
79141,1093GW,Dapperbuurt Zuid
79150,1093GX,Dapperbuurt Zuid
79157,1093GZ,Dapperbuurt Zuid
79164,1093HA,Dapperbuurt Zuid
79167,1093HB,Dapperbuurt Zuid
79173,1093HC,Dapperbuurt Zuid
79178,1093HD,Dapperbuurt Zuid
79183,1093HE,Dapperbuurt Zuid
79186,1093HG,Dapperbuurt Zuid
79188,1093HH,Dapperbuurt Zuid
79189,1093HJ,Dapperbuurt Zuid
79196,1093HK,Dapperbuurt Zuid
79204,1093HL,Dapperbuurt Zuid
79211,1093HM,Dapperbuurt Zuid
79220,1093HN,Dapperbuurt Zuid
79227,1093HP,Dapperbuurt Zuid
79323,1093HR,Dapperbuurt Zuid
79332,1093HS,Dapperbuurt Zuid
79335,1093HT,Dapperbuurt Zuid
79341,1093HV,Dapperbuurt Zuid
79347,1093HW,Dapperbuurt Zuid
79351,1093HX,Dapperbuurt Zuid
79367,1093HZ,Dapperbuurt Zuid
79403,1093JB,Dapperbuurt Zuid
79411,1093JC,Dapperbuurt Zuid
79418,1093JD,Dapperbuurt Zuid
79425,1093JE,Dapperbuurt Zuid
79430,1093JG,Dapperbuurt Zuid
79432,1093JK,Dapperbuurt Zuid
79499,1093JL,Dapperbuurt Zuid
79508,1093JM,Dapperbuurt Zuid
79516,1093JN,Dapperbuurt Zuid
79524,1093JP,Dapperbuurt Zuid
79533,1093JR,Dapperbuurt Zuid
79539,1093JS,Dapperbuurt Zuid
79543,1093JT,Dapperbuurt Zuid
79548,1093JV,Dapperbuurt Zuid
79559,1093LA,Dapperbuurt Zuid
79583,1093LE,Dapperbuurt Zuid
79592,1093MA,Dapperbuurt Zuid
79648,1093MB,Dapperbuurt Zuid
79651,1093MC,Dapperbuurt Zuid
79669,1093MD,Dapperbuurt Zuid
79683,1093ME,Dapperbuurt Zuid
79701,1093MJ,Dapperbuurt Zuid
79745,1093MK,Dapperbuurt Zuid
79784,1093SH,Dapperbuurt Zuid
79824,1093VE,Dapperbuurt Zuid
79829,1093VG,Dapperbuurt Zuid
79839,1093VH,Dapperbuurt Zuid
79846,1093VJ,Dapperbuurt Zuid
79852,1093VK,Dapperbuurt Zuid
79859,1093VL,Dapperbuurt Zuid
79865,1093VM,Dapperbuurt Zuid
79871,1093VN,Dapperbuurt Zuid
79877,1093VP,Dapperbuurt Zuid
79884,1093VR,Dapperbuurt Zuid
79892,1093VS,Dapperbuurt Zuid
79896,1093VT,Dapperbuurt Zuid
79897,1093VV,Dapperbuurt Zuid
79905,1093VW,Dapperbuurt Zuid
79913,1093VX,Dapperbuurt Zuid
79920,1093VZ,Dapperbuurt Zuid
79923,1093WZ,Dapperbuurt Zuid
79932,1093XA,Dapperbuurt Zuid
79957,1093XC,Dapperbuurt Zuid
79981,1093XD,Dapperbuurt Zuid
79988,1093XG,Dapperbuurt Zuid
79993,1093XH,Dapperbuurt Zuid
79995,1093XJ,Dapperbuurt Zuid
80000,1093XK,Dapperbuurt Zuid
80006,1093XL,Dapperbuurt Zuid
80016,1093XM,Dapperbuurt Zuid
80025,1093XN,Dapperbuurt Zuid
80038,1093XP,Dapperbuurt Zuid
80045,1093XR,Dapperbuurt Zuid
80052,1093XS,Dapperbuurt Zuid
80054,1093XV,Dapperbuurt Zuid
80059,1093XX,Dapperbuurt Zuid
80067,1093XZ,Dapperbuurt Zuid
80074,1093ZA,Dapperbuurt Zuid
80083,1093ZB,Dapperbuurt Zuid
80094,1093EN,Oostpoort
80102,1093EP,Oostpoort
80111,1093ER,Oostpoort
80117,1093JW,Oostpoort
80123,1093JX,Oostpoort
80130,1093JZ,Oostpoort
80139,1093KA,Oostpoort
80150,1093KB,Oostpoort
80165,1093KC,Oostpoort
80174,1093KD,Oostpoort
80186,1093KE,Oostpoort
80196,1093KG,Oostpoort
80211,1093KH,Oostpoort
80213,1093KJ,Oostpoort
80219,1093KK,Oostpoort
80230,1093KL,Oostpoort
80234,1093KM,Oostpoort
80250,1093KN,Oostpoort
80274,1093KP,Oostpoort
80521,1093KS,Oostpoort
80585,1093NA,Oostpoort
80593,1093NB,Oostpoort
80620,1093NE,Oostpoort
80623,1093NG,Oostpoort
80663,1093NH,Oostpoort
80897,1093NJ,Oostpoort
80984,1093NK,Oostpoort
81033,1093NM,Oostpoort
81052,1093NN,Oostpoort
81064,1093NP,Oostpoort
81092,1091KW,Transvaalbuurt West
81108,1091KX,Transvaalbuurt West
81116,1091KZ,Transvaalbuurt West
81122,1091LA,Transvaalbuurt West
81127,1091LB,Transvaalbuurt West
81133,1091LC,Transvaalbuurt West
81139,1091LD,Transvaalbuurt West
81145,1091LE,Transvaalbuurt West
81152,1091LG,Transvaalbuurt West
81158,1091LH,Transvaalbuurt West
81163,1091LJ,Transvaalbuurt West
81167,1091LK,Transvaalbuurt West
81172,1091LL,Transvaalbuurt West
81176,1091LM,Transvaalbuurt West
81228,1091LN,Transvaalbuurt West
81238,1091LP,Transvaalbuurt West
81247,1091LR,Transvaalbuurt West
81259,1091LS,Transvaalbuurt West
81265,1091LT,Transvaalbuurt West
81272,1091LV,Transvaalbuurt West
81280,1091LW,Transvaalbuurt West
81287,1091LX,Transvaalbuurt West
81334,1091LZ,Transvaalbuurt West
81341,1091MD,Transvaalbuurt West
81373,1091ME,Transvaalbuurt West
81394,1091MG,Transvaalbuurt West
81412,1091MH,Transvaalbuurt West
81419,1091NA,Transvaalbuurt West
81430,1091NB,Transvaalbuurt West
81438,1091NC,Transvaalbuurt West
81475,1091ND,Transvaalbuurt West
81482,1091NE,Transvaalbuurt West
81492,1091NG,Transvaalbuurt West
81505,1091NH,Transvaalbuurt West
81511,1091NJ,Transvaalbuurt West
81520,1091NK,Transvaalbuurt West
81523,1091NN,Transvaalbuurt West
81547,1091NP,Transvaalbuurt West
81553,1091NR,Transvaalbuurt West
81559,1091NS,Transvaalbuurt West
81568,1091NT,Transvaalbuurt West
81574,1091NV,Transvaalbuurt West
81580,1091NW,Transvaalbuurt West
81584,1091NX,Transvaalbuurt West
81586,1091NZ,Transvaalbuurt West
81598,1091PA,Transvaalbuurt West
81603,1091PB,Transvaalbuurt West
81616,1091PC,Transvaalbuurt West
81627,1091PD,Transvaalbuurt West
81638,1091PE,Transvaalbuurt West
81645,1091PG,Transvaalbuurt West
81654,1091PH,Transvaalbuurt West
81663,1091PJ,Transvaalbuurt West
81674,1091PK,Transvaalbuurt West
81683,1091PL,Transvaalbuurt West
81693,1091PM,Transvaalbuurt West
81714,1091PN,Transvaalbuurt West
81722,1091PP,Transvaalbuurt West
81730,1091PR,Transvaalbuurt West
81736,1091PS,Transvaalbuurt West
81742,1091PT,Transvaalbuurt West
81744,1091PW,Transvaalbuurt West
81785,1091PX,Transvaalbuurt West
81794,1091VM,Transvaalbuurt West
81802,1091VN,Transvaalbuurt West
81810,1091VP,Transvaalbuurt West
81816,1091VR,Transvaalbuurt West
81822,1091VS,Transvaalbuurt West
81828,1091VT,Transvaalbuurt West
81834,1091VV,Transvaalbuurt West
81842,1091VW,Transvaalbuurt West
81854,1091VX,Transvaalbuurt West
81881,1091VZ,Transvaalbuurt West
81886,1091WS,Transvaalbuurt West
81911,1091WT,Transvaalbuurt West
81938,1091WV,Transvaalbuurt West
81958,1091WX,Transvaalbuurt West
81978,1091WZ,Transvaalbuurt West
82000,1091XB,Transvaalbuurt West
82012,1091XC,Transvaalbuurt West
82034,1091XD,Transvaalbuurt West
82048,1091XE,Transvaalbuurt West
82055,1091XG,Transvaalbuurt West
82062,1091XH,Transvaalbuurt West
82067,1091XJ,Transvaalbuurt West
82073,1091XK,Transvaalbuurt West
82074,1091XL,Transvaalbuurt West
82075,1091XM,Transvaalbuurt West
82081,1091XN,Transvaalbuurt West
82088,1091XP,Transvaalbuurt West
82100,1091XR,Transvaalbuurt West
82106,1091XS,Transvaalbuurt West
82137,1091XT,Transvaalbuurt West
82146,1091XV,Transvaalbuurt West
82156,1091XW,Transvaalbuurt West
82161,1091XX,Transvaalbuurt West
82169,1091XZ,Transvaalbuurt West
82177,1091ZA,Transvaalbuurt West
82180,1091ZB,Transvaalbuurt West
82198,1091ZC,Transvaalbuurt West
82214,1091ZE,Transvaalbuurt West
82229,1092CM,Transvaalbuurt Oost
