,charger_ID,city,address,provider,latitude,longitude,operator,type,power,zipcode
695,e14728d4-d42c-4a77-bd60-9f4b00052701,Amsterdam,Geuzenkade 84,TotalEnergie,52.374862,4.863636,TotalEnergie,AC,22,1056 KP
696,e1bfc3fb-1318-4d3f-b6da-6c88f5cba362,Weesp,Kerklaan 9,TotalEnergie,52.309314,5.040324,TotalEnergie,AC,22,1382 AK
697,e1e1e44e-9675-40fe-968e-ce919e6b77e0,Amsterdam,Willemsparkweg 125,TotalEnergie,52.356454,4.872586,TotalEnergie,AC,22,1071 GW
698,E1FBABAA-598D-4149-A70B-448798355DC6,Amsterdam,Staringstraat 1,TotalEnergie,52.362252,4.862148,TotalEnergie,AC,22,1054 VM
699,E30A493E-3A8D-4C68-BB5A-0970CC232AA8,Amsterdam,Eerste Keucheniusstraat 15,TotalEnergie,52.381256,4.872956,TotalEnergie,AC,22,1051 HP
700,e31c2e63-f50a-4994-a4cf-23e5fc7fdd58,Amsterdam,Van Beuningenstraat 179,TotalEnergie,52.381746,4.872748,TotalEnergie,AC,22,1051 XP
701,e3879653-e677-4a63-b7fa-67768738e280,Amsterdam,Scheepstimmermanstraat 57,TotalEnergie,52.372304,4.949361,TotalEnergie,AC,22,1019 WV
702,e3dbeab9-d88d-4577-b116-0e90c8a95e59,Amsterdam,Cliffordstraat 7,TotalEnergie,52.383937,4.872982,TotalEnergie,AC,22,1035 JW
703,e3dc8512-4b0b-4189-8799-fabe46e17311,Weesp,Leeuwenveldseweg 5,TotalEnergie,52.312531,5.045046,TotalEnergie,AC,22,1382 LV
704,E484C7F2-F915-4537-B639-B554E6AFE819,Amsterdam,Hoogte Kadijk 195,TotalEnergie,52.367173,4.921662,TotalEnergie,AC,22,1018 BK
705,E503160D-FF0C-4B9A-A587-F397B49A76D0,Amsterdam,Roggeveenstraat 1,TotalEnergie,52.389503,4.888682,TotalEnergie,AC,22,1013 PP
706,e59bc91b-2897-4edb-92b9-d830f52bc7ac,Amsterdam,Torricellistraat 7,TotalEnergie,52.343135,4.923575,TotalEnergie,AC,22,1097 NZ
707,E65B5E13-C5BF-4584-A761-B00D18A4418B,Amsterdam,Cornelis Anthoniszstraat 70,TotalEnergie,52.353865,4.885936,TotalEnergie,AC,22,1071 VX
708,E68C7D16-D2B7-4BB6-A1B3-34D67AD29C71,Amsterdam,Zuid Hollandstraat 2,TotalEnergie,52.326757,4.871702,TotalEnergie,AC,22,1082 EK
709,E6F6CAC8-A624-4FD6-92A6-E4E4CC9FDD47,Amsterdam,Diemerparklaan 79,TotalEnergie,52.3566,4.997287,TotalEnergie,AC,22,1087 GN
